CLAVE,NOMBRE DEL PRODUCTO,TIPO DE PIEL,PRESENTACIÓN,PRECIO,DESCRIPCIÓN,CATEGORÍA
SER01,R SÉRUM,Todo tipo de piel,45 mL,$699,Reincronizador facial • Ayuda a minimizar los signos de fatiga y estrés oxidativo en la piel formulado con ectoína y AHA,Sérum
SER02,M SÉRUM,Todo tipo de piel,45 mL,$699,Microbioma facial • Formulado con probióticos que ayudan a fortalecer la piel con acción calmante e hidratante,Sérum
SER03,L SÉRUM,Todo tipo de piel,45 mL,$699,Protector luz azul suero único que previene los daños generados por la exposición a rayos UV y contaminación digital,Sérum
SER04,K MASK,Todo tipo de piel,25 g / 30 g,$689,Mascarilla de descanso para contorno de ojos,Sérum
SER05,O OIL,Protocolos específicos,27 mL,$499,Mezcla de aceites esenciales,Sérum
SER06,C SÉRUM,Todo tipo de piel,45 mL,$699,"Suero con retinol que ayuda a minimizar las pigmentaciones, signos de la edad y promueve la regeneración celular de la piel",Sérum
SER07,B SÉRUM,Todo tipo de piel,45 mL,$699,"Suero con collagen system, elastina y ácido fólico que contrarresta los efectos de la gravedad de la piel",Sérum
SER08,H SÉRUM,Todo tipo de piel,45 mL,$699,Sérum hidratante con ácido hialurónico. Booster con GAG,Sérum
SER09,D+ SÉRUM,Todo tipo de piel,45 mL,$699,"Suero despigmentante, antioxidante y seborregulador",Sérum
AA001,VITA JOUR öL,Piel normal y Piel mixta y Piel grasa,110 g,$499,"Crema de limpieza para piel normal, grasa o mixta",Desmaquillantes
AA002,VITA JOUR öL,Piel normal y Piel mixta y Piel grasa,220 g,$659,"Crema de limpieza para piel normal, grasa o mixta",Desmaquillantes
AA003,VITA JOUR LÍQUIDA,Piel seca / Alípica y Piel sensible,240 mL,$559,Crema limpiadora para piel alípica o sensible,Desmaquillantes
AA004,VITA JOUR LÍQUIDA,Piel seca / Alípica y Piel sensible,500 mL,$819,Crema limpiadora para piel alípica o sensible,Desmaquillantes
AA005,ESFUMINA,Todo tipo de piel,16 g,$309,Gel desmaquillante de ojos y labios,Desmaquillantes
AB001,YOEN REFRESCANTE y ASTRINGENTE,Piel grasa,120 mL,$449,Loción para piel mixta o grasa,Lociones y tónicos
AB002,YOEN REFRESCANTE y ASTRINGENTE,Piel grasa,500 mL,$719,Loción para piel mixta o grasa,Lociones y tónicos
AB003,YOEN HIDROTONIC,Piel normal y Piel seca / Alípica y Piel sensible,240 mL,$559,"Loción humectante sin alcohol para piel normal, alípica o sensible",Lociones y tónicos
AB004,YOEN HIDROTONIC,Piel normal y Piel seca / Alípica y Piel sensible,500 mL,$849,"Loción humectante sin alcohol para piel normal, alípica o sensible",Lociones y tónicos
AB006,YOEN HIDROTONIC,Piel normal y Piel seca / Alípica y Piel sensible,120 mL,$379,"Loción humectante sin alcohol para piel normal, alípica o sensible",Lociones y tónicos
AB005,Tefnet F.P.,Todo tipo de piel,120 mL,$429,Ideal para la activación de productos,Lociones y tónicos
AC001,GENESIS I,Piel normal y Piel mixta y Piel grasa,50 g,$779,Crema humectante de día para piel normal o grasa,Cremas de tratamiento
AC002,GENESIS I,Piel normal y Piel mixta y Piel grasa,220 g,"$1,109",Crema humectante de día para piel normal o grasa,Cremas de tratamiento
AC003,GENESIS II,Piel normal y Piel seca / Alípica,50 g,$779,Crema humectante de día para piel normal a alípica,Cremas de tratamiento
AC004,GENESIS II,Piel normal y Piel seca / Alípica,220 g,"$1,109",Crema humectante de día para piel normal a alípica,Cremas de tratamiento
AC005,HUIT,Piel sensible,18 g,$279,Crema desensibilizante para piel cuperosa o sensible,Cremas de tratamiento
